Date,Time,Value
01/06/2023,00:00:00,1.75
01/06/2023,01:00:00,1.5550000000000002
01/06/2023,02:00:00,1.786
01/06/2023,03:00:00,2.322
01/06/2023,04:00:00,3.056
01/06/2023,05:00:00,3.906
01/06/2023,06:00:00,4.739
01/06/2023,07:00:00,5.334
01/06/2023,08:00:00,5.439
01/06/2023,09:00:00,4.933
01/06/2023,10:00:00,3.936
01/06/2023,11:00:00,2.786
01/06/2023,12:00:00,1.87
01/06/2023,13:00:00,1.4300000000000002
01/06/2023,14:00:00,1.492
01/06/2023,15:00:00,1.9340000000000002
01/06/2023,16:00:00,2.623
01/06/2023,17:00:00,3.464
01/06/2023,18:00:00,4.354
01/06/2023,19:00:00,5.1
01/06/2023,20:00:00,5.437
01/06/2023,21:00:00,5.157
01/06/2023,22:00:00,4.2780000000000005
01/06/2023,23:00:00,3.088
02/06/2023,00:00:00,2.011
02/06/2023,01:00:00,1.389
02/06/2023,02:00:00,1.331
02/06/2023,03:00:00,1.741
02/06/2023,04:00:00,2.449
02/06/2023,05:00:00,3.329
02/06/2023,06:00:00,4.2860000000000005
02/06/2023,07:00:00,5.164
02/06/2023,08:00:00,5.705
02/06/2023,09:00:00,5.6419999999999995
02/06/2023,10:00:00,4.8870000000000005
02/06/2023,11:00:00,3.642
02/06/2023,12:00:00,2.3390000000000004
02/06/2023,13:00:00,1.409
02/06/2023,14:00:00,1.077
02/06/2023,15:00:00,1.307
02/06/2023,16:00:00,1.923
02/06/2023,17:00:00,2.761
02/06/2023,18:00:00,3.72
02/06/2023,19:00:00,4.682
02/06/2023,20:00:00,5.42
02/06/2023,21:00:00,5.639
02/06/2023,22:00:00,5.148
02/06/2023,23:00:00,4.038
03/06/2023,00:00:00,2.692
03/06/2023,01:00:00,1.596
03/06/2023,02:00:00,1.0860000000000003
03/06/2023,03:00:00,1.214
03/06/2023,04:00:00,1.812
03/06/2023,05:00:00,2.675
03/06/2023,06:00:00,3.6670000000000003
03/06/2023,07:00:00,4.69
03/06/2023,08:00:00,5.562
03/06/2023,09:00:00,5.991
03/06/2023,10:00:00,5.712
03/06/2023,11:00:00,4.696
03/06/2023,12:00:00,3.243
03/06/2023,13:00:00,1.863
03/06/2023,14:00:00,1.004
03/06/2023,15:00:00,0.8370000000000002
03/06/2023,16:00:00,1.251
03/06/2023,17:00:00,2.02
03/06/2023,18:00:00,2.972
03/06/2023,19:00:00,4.007
03/06/2023,20:00:00,4.992
03/06/2023,21:00:00,5.667
03/06/2023,22:00:00,5.7219999999999995
03/06/2023,23:00:00,5.006
04/06/2023,00:00:00,3.698
04/06/2023,01:00:00,2.27
04/06/2023,02:00:00,1.241
04/06/2023,03:00:00,0.9050000000000002
04/06/2023,04:00:00,1.2320000000000002
04/06/2023,05:00:00,1.993
04/06/2023,06:00:00,2.963
04/06/2023,07:00:00,4.019
04/06/2023,08:00:00,5.058
04/06/2023,09:00:00,5.872
04/06/2023,10:00:00,6.146
04/06/2023,11:00:00,5.636
04/06/2023,12:00:00,4.392
04/06/2023,13:00:00,2.809
04/06/2023,14:00:00,1.4480000000000002
04/06/2023,15:00:00,0.7309999999999999
04/06/2023,16:00:00,0.7530000000000001
04/06/2023,17:00:00,1.327
04/06/2023,18:00:00,2.201
04/06/2023,19:00:00,3.212
04/06/2023,20:00:00,4.273
04/06/2023,21:00:00,5.231
04/06/2023,22:00:00,5.798
04/06/2023,23:00:00,5.6690000000000005
05/06/2023,00:00:00,4.751
05/06/2023,01:00:00,3.3160000000000003
05/06/2023,02:00:00,1.899
05/06/2023,03:00:00,1.013
05/06/2023,04:00:00,0.8759999999999999
05/06/2023,05:00:00,1.377
05/06/2023,06:00:00,2.245
05/06/2023,07:00:00,3.263
05/06/2023,08:00:00,4.329
05/06/2023,09:00:00,5.337
05/06/2023,10:00:00,6.053
05/06/2023,11:00:00,6.1530000000000005
05/06/2023,12:00:00,5.436
05/06/2023,13:00:00,4.035
05/06/2023,14:00:00,2.422
05/06/2023,15:00:00,1.1680000000000001
05/06/2023,16:00:00,0.6339999999999999
05/06/2023,17:00:00,0.8260000000000001
05/06/2023,18:00:00,1.5070000000000001
05/06/2023,19:00:00,2.42
05/06/2023,20:00:00,3.434
05/06/2023,21:00:00,4.471
05/06/2023,22:00:00,5.361000000000001
05/06/2023,23:00:00,5.798
06/06/2023,00:00:00,5.496
06/06/2023,01:00:00,4.436
06/06/2023,02:00:00,2.965
06/06/2023,03:00:00,1.6480000000000001
06/06/2023,04:00:00,0.9470000000000001
06/06/2023,05:00:00,0.9950000000000001
06/06/2023,06:00:00,1.611
06/06/2023,07:00:00,2.515
06/06/2023,08:00:00,3.519
06/06/2023,09:00:00,4.548
06/06/2023,10:00:00,5.489
06/06/2023,11:00:00,6.089
06/06/2023,12:00:00,6.029
06/06/2023,13:00:00,5.162
06/06/2023,14:00:00,3.698
06/06/2023,15:00:00,2.151
06/06/2023,16:00:00,1.0620000000000003
06/06/2023,17:00:00,0.7090000000000001
06/06/2023,18:00:00,1.0220000000000002
06/06/2023,19:00:00,1.737
06/06/2023,20:00:00,2.6260000000000003
06/06/2023,21:00:00,3.595
06/06/2023,22:00:00,4.574
06/06/2023,23:00:00,5.375
07/06/2023,00:00:00,5.6850000000000005
07/06/2023,01:00:00,5.254
07/06/2023,02:00:00,4.131
07/06/2023,03:00:00,2.714
07/06/2023,04:00:00,1.554
07/06/2023,05:00:00,1.0390000000000001
07/06/2023,06:00:00,1.2190000000000003
07/06/2023,07:00:00,1.875
07/06/2023,08:00:00,2.745
07/06/2023,09:00:00,3.6870000000000003
07/06/2023,10:00:00,4.648
07/06/2023,11:00:00,5.507
07/06/2023,12:00:00,5.995
07/06/2023,13:00:00,5.8149999999999995
07/06/2023,14:00:00,4.876
07/06/2023,15:00:00,3.444
07/06/2023,16:00:00,2.034
07/06/2023,17:00:00,1.1270000000000002
07/06/2023,18:00:00,0.9159999999999999
07/06/2023,19:00:00,1.279
07/06/2023,20:00:00,1.9600000000000002
07/06/2023,21:00:00,2.779
07/06/2023,22:00:00,3.6750000000000003
07/06/2023,23:00:00,4.582
08/06/2023,00:00:00,5.2940000000000005
08/06/2023,01:00:00,5.504
08/06/2023,02:00:00,5.006
08/06/2023,03:00:00,3.9010000000000002
08/06/2023,04:00:00,2.603
08/06/2023,05:00:00,1.616
08/06/2023,06:00:00,1.2480000000000002
08/06/2023,07:00:00,1.486
08/06/2023,08:00:00,2.107
08/06/2023,09:00:00,2.892
08/06/2023,10:00:00,3.745
08/06/2023,11:00:00,4.628
08/06/2023,12:00:00,5.4079999999999995
08/06/2023,13:00:00,5.811
08/06/2023,14:00:00,5.568
08/06/2023,15:00:00,4.6370000000000005
08/06/2023,16:00:00,3.3080000000000003
08/06/2023,17:00:00,2.066
08/06/2023,18:00:00,1.3160000000000003
08/06/2023,19:00:00,1.185
08/06/2023,20:00:00,1.5290000000000001
08/06/2023,21:00:00,2.13
08/06/2023,22:00:00,2.858
08/06/2023,23:00:00,3.678
09/06/2023,00:00:00,4.518
09/06/2023,01:00:00,5.163
09/06/2023,02:00:00,5.317
09/06/2023,03:00:00,4.816
09/06/2023,04:00:00,3.789
09/06/2023,05:00:00,2.6350000000000002
09/06/2023,06:00:00,1.794
09/06/2023,07:00:00,1.506
09/06/2023,08:00:00,1.727
09/06/2023,09:00:00,2.258
09/06/2023,10:00:00,2.9330000000000003
09/06/2023,11:00:00,3.696
09/06/2023,12:00:00,4.511
09/06/2023,13:00:00,5.232
09/06/2023,14:00:00,5.591
